Date, Water Level, Humidity (%), Tempurature (F)
2017-Jul-30 10:11:33, 0, 80.0, 62.6
2017-Jul-30 10:11:42, 0, 80.0, 62.6
2017-Jul-30 10:11:45, 0, 80.0, 62.6
2017-Jul-30 10:11:47, 0, 80.0, 62.6
2017-Jul-30 10:11:50, 0, 80.0, 62.6
2017-Jul-30 10:12:02, 85, 80.0, 62.6
2017-Jul-30 10:30:03, 0, 78.0, 60.8
# Monitoring 3 Potato Spuds in Small Pot
2017-Jul-30 10:45:03, 617, 80.0, 62.6
2017-Jul-30 11:00:03, 622, 81.0, 64.4
2017-Jul-30 11:15:03, 620, 79.0, 66.2
2017-Jul-30 11:30:03, 609, 80.0, 66.2
2017-Jul-30 11:45:03, 611, 80.0, 66.2
2017-Jul-30 12:00:03, 614, 79.0, 66.2
2017-Jul-30 12:15:03, 616, 79.0, 68.0
2017-Jul-30 12:30:03, 622, 80.0, 68.0
2017-Jul-30 12:45:02, 660, 80.0, 68.0
2017-Jul-30 12:59:18, 669.0, 75.0, 69.8
2017-Jul-30 13:00:08, 669.0, 76.0, 69.8
2017-Jul-30 13:15:08, 670.0, 76.0, 69.8
2017-Jul-30 13:30:08, 672.0, 75.0, 69.8
2017-Jul-30 13:45:08, 672.0, 75.0, 69.8
2017-Jul-30 14:00:08, 671.0, 76.0, 69.8
2017-Jul-30 14:15:08, 673.0, 75.0, 69.8
2017-Jul-30 14:30:08, 673.0, 76.0, 69.8
2017-Jul-30 14:45:07, 674.0, 75.0, 71.6
2017-Jul-30 15:00:08, 674.0, 75.0, 71.6
2017-Jul-30 15:15:08, 676.0, 75.0, 71.6
2017-Jul-30 15:30:08, 676.0, 75.0, 71.6
2017-Jul-30 15:45:08, 676.0, 75.0, 71.6
2017-Jul-30 16:00:08, 678.0, 74.0, 71.6
2017-Jul-30 16:15:08, 678.0, 73.0, 71.6
2017-Jul-30 16:30:08, 680.0, 73.0, 71.6
2017-Jul-30 16:45:08, 680.0, 73.0, 71.6
2017-Jul-30 17:00:07, 681.0, 73.0, 73.4
2017-Jul-30 17:15:08, 681.0, 73.0, 73.4
2017-Jul-30 17:30:08, 682.0, 72.0, 73.4
2017-Jul-30 17:45:08, 681.0, 72.0, 73.4
2017-Jul-30 18:00:08, 682.0, 72.0, 73.4
2017-Jul-30 18:15:08, 682.0, 71.0, 73.4
2017-Jul-30 18:30:08, 683.0, 71.0, 73.4
2017-Jul-30 18:45:08, 680.0, 71.0, 73.4
2017-Jul-30 19:00:07, 684.0, 70.0, 73.4
2017-Jul-30 19:15:08, 683.0, 70.0, 73.4
2017-Jul-30 19:30:08, 683.0, 70.0, 73.4
2017-Jul-30 19:45:08, 682.0, 69.0, 73.4
2017-Jul-30 20:00:08, 679.0, 70.0, 71.6
2017-Jul-30 20:15:08, 681.0, 70.0, 71.6
2017-Jul-30 20:30:08, 678.0, 70.0, 71.6
2017-Jul-30 20:45:08, 682.0, 70.0, 71.6
2017-Jul-30 21:00:07, 678.0, 70.0, 71.6
2017-Jul-30 21:15:08, 684.0, 70.0, 69.8
2017-Jul-30 21:30:08, 684.0, 71.0, 69.8
2017-Jul-30 21:45:08, 684.0, 71.0, 69.8
2017-Jul-30 22:00:08, 684.0, 71.0, 69.8
2017-Jul-30 22:15:08, 684.0, 71.0, 69.8
2017-Jul-30 22:30:08, 677.0, 71.0, 69.8
2017-Jul-30 22:45:08, 679.0, 71.0, 69.8
2017-Jul-30 23:00:08, 678.0, 71.0, 69.8
2017-Jul-30 23:15:07, 680.0, 71.0, 69.8
2017-Jul-30 23:30:08, 682.0, 71.0, 69.8
2017-Jul-30 23:45:08, 681.0, 72.0, 69.8
2017-Jul-31 00:00:08, 687.0, 71.0, 69.8
2017-Jul-31 00:15:08, 678.0, 71.0, 69.8
2017-Jul-31 00:30:08, 677.0, 71.0, 69.8
2017-Jul-31 00:45:08, 678.0, 71.0, 69.8
2017-Jul-31 01:00:08, 680.0, 71.0, 69.8
2017-Jul-31 01:15:07, 679.0, 72.0, 68.0
2017-Jul-31 01:30:08, 680.0, 71.0, 69.8
2017-Jul-31 01:45:08, 681.0, 71.0, 69.8
2017-Jul-31 02:00:08, 682.0, 70.0, 69.8
2017-Jul-31 02:15:08, 681.0, 71.0, 69.8
2017-Jul-31 02:30:08, 679.0, 71.0, 68.0
2017-Jul-31 02:45:08, 680.0, 71.0, 68.0
2017-Jul-31 03:00:08, 678.0, 72.0, 68.0
2017-Jul-31 03:15:07, 677.0, 72.0, 68.0
2017-Jul-31 03:30:08, 678.0, 72.0, 68.0
2017-Jul-31 03:45:08, 677.0, 72.0, 68.0
2017-Jul-31 04:00:08, 678.0, 72.0, 68.0
2017-Jul-31 04:15:08, 678.0, 72.0, 66.2
2017-Jul-31 04:30:08, 678.0, 72.0, 66.2
2017-Jul-31 04:45:08, 677.0, 72.0, 66.2
2017-Jul-31 05:00:11, 677.0, 72.0, 66.2
2017-Jul-31 05:15:08, 674.0, 72.0, 66.2
2017-Jul-31 05:30:08, 675.0, 72.0, 66.2
2017-Jul-31 05:45:08, 674.0, 71.0, 66.2
2017-Jul-31 06:00:08, 674.0, 72.0, 66.2
2017-Jul-31 06:15:08, 673.0, 71.0, 66.2
2017-Jul-31 06:30:08, 671.0, 72.0, 64.4
2017-Jul-31 06:45:08, 672.0, 72.0, 64.4
2017-Jul-31 07:00:08, 671.0, 72.0, 64.4
2017-Jul-31 07:15:08, 669.0, 73.0, 64.4
2017-Jul-31 07:30:08, 669.0, 74.0, 64.4
2017-Jul-31 07:45:08, 676.0, 73.0, 64.4
2017-Jul-31 08:00:07, 675.0, 74.0, 64.4
2017-Jul-31 08:15:08, 675.0, 75.0, 64.4
2017-Jul-31 08:30:08, 674.0, 75.0, 64.4
2017-Jul-31 08:45:08, 674.0, 76.0, 64.4
2017-Jul-31 09:00:08, 673.0, 77.0, 64.4
2017-Jul-31 09:15:08, 675.0, 81.0, 62.6
2017-Jul-31 09:30:08, 675.0, 84.0, 62.6
2017-Jul-31 09:45:08, 675.0, 84.0, 64.4
